company_id,factset_entity_id
30,066JSW-E
51,000XXQ-E
65,000P51-E
97,0C4Y73-E
106,05WS4X-E
120,0645RN-E
127,0B6GJ3-E
134,05KWDP-E
141,0M7DHR-E
162,0GYS0W-E
191,0800MQ-E
201,09LZYH-E
203,06L5FW-E
207,07WSV1-E
209,07R56Y-E
215,064TSG-E
224,05M19V-E
235,06532Q-E
245,0B7TZF-E
250,05KXZS-E
251,003BLB-E
254,05MG5Z-E
258,0DQBLD-E
274,0642YB-E
309,05QXJG-E
337,0BZ32B-E
338,0LN47T-E
341,0M7CJN-E
349,0LN484-E
376,0027L0-E
393,0D7BGG-E
402,009RN4-E
405,06F333-E
438,0DF6TC-E
449,05YT2C-E
459,003KKP-E
472,0GS925-E
524,064H38-E
563,05TG7D-E
567,05L4S6-E
576,05P9CB-E
606,05LJMQ-E
619,07VZ6P-E
633,005NRR-E
645,080J9J-E
650,063Y2N-E
656,068238-E
667,07P8JP-E
675,064NPP-E
688,0JGRDF-E
690,07X7SX-E
694,05NJWM-E
696,07W2ZY-E
705,05HWN5-E
719,061RWK-E
722,0BY0MK-E
731,000C7W-E
737,06HFT1-E
740,061T34-E
752,0K15GB-E
772,002R2V-E
780,064LMY-E
784,07PNNF-E
817,061STK-E
820,05L3MQ-E
823,0M7DRY-E
827,0CX0K6-E
854,000HM6-E
874,-9999
875,0F03M3-E
884,009K25-E
890,0011CL-E
900,065GL9-E
903,07N86K-E
905,002TYV-E
922,07R3QS-E
927,061F12-E
949,071ZB2-E
981,00220N-E
998,063R91-E
1009,0628LB-E
1024,0656HH-E
1037,05KRBX-E
1040,064CVR-E
1064,063TF1-E
1069,07PBYQ-E
1081,064MHN-E
1086,064ND3-E
1091,0613Q2-E
1098,0650WH-E
1123,07XVMN-E
1130,05X9TM-E
1136,064HY4-E
1140,073HMD-E
1143,089S08-E
1165,05P7LC-E
1169,002WX6-E
1174,07PNMX-E
1189,0M7DZB-E
1200,060Y0S-E
1201,07PRBG-E
1202,00956M-E
1231,002S2D-E
1232,05KTV1-E
1248,07XXLT-E
1252,072NV3-E
1253,072XC7-E
1254,07Z1WX-E
1257,0625X0-E
1260,05MNLR-E
1261,072GKF-E
1262,0613HZ-E
1266,05LJLH-E
1290,09BS6Z-E
1317,0C7SGM-E
1326,0655BR-E
1353,063T8X-E
1354,06NJ4P-E
1355,05MQTD-E
1380,0H9G8K-E
1397,0DQN9B-E
1428,06596J-E
1430,002PSJ-E
1441,003K8B-E
1443,001648-E
1446,0730X9-E
1451,0CRSQV-E
1464,083Y1H-E
1495,0D8Y2Z-E
