company_id,factset_entity_id
7,089WBX-E
84,0MGP2G-E
90,064P9T-E
92,072KGJ-E
124,0M5N2K-E
126,07RNGS-E
136,003Q3K-E
151,0MGQNC-E
153,07PBX6-E
154,077MF9-E
163,07V9KN-E
193,0C0RS1-E
198,0C1MBP-E
204,0C6QGG-E
205,0C6QGJ-E
222,093R8D-E
237,06B0TV-E
238,07P815-E
256,07Q3CQ-E
271,05FZVX-E
273,09Q5Y0-E
347,0MP9MQ-E
350,0M5Z27-E
357,0C7CC9-E
404,000BPJ-E
447,05FYJM-E
460,089LNY-E
484,0017ZH-E
485,0017ZH-E
499,0M7C82-E
515,0MMMJX-E
536,05M1KW-E
553,00116B-E
556,0HVMHN-E
562,0MHKMF-E
564,063Y8G-E
565,063Y60-E
569,006BDW-E
571,05WNCB-E
575,07YX88-E
605,097P83-E
608,0HXQ18-E
668,0GX07F-E
669,0615MH-E
676,0BPXSF-E
687,064WLM-E
699,0MF3KV-E
703,076J0J-E
721,000CNJ-E
736,064G7V-E
749,0MH9C9-E
751,05MVPH-E
758,05SNZ4-E
759,003N0M-E
764,001LPM-E
765,001LPM-E
766,001LPM-E
767,0MH24H-E
768,0MH7Y6-E
771,0MH24K-E
778,002YG3-E
783,0MHK1Q-E
786,0MH8B0-E
787,0MH8BV-E
789,0M5HQJ-E
790,0MH6ZF-E
792,0MH44H-E
795,07QYJS-E
796,07CXRB-E
806,0M9L92-E
818,064VTC-E
825,000SZ8-E
828,0GFRN6-E
834,060F88-E
839,07VKK7-E
848,064JJ6-E
850,0642T1-E
856,05KWK2-E
878,0080KR-E
879,05J0KS-E
901,05MVK6-E
906,07PZ19-E
913,006TC7-E
923,06L5QC-E
933,064LR8-E
934,0GJSCT-E
944,076HTK-E
960,0MHNV7-E
961,07P8XC-E
970,002QJ6-E
973,080JKQ-E
1005,097XX9-E
1020,0CN8BB-E
1043,06GD94-E
1063,05M0PP-E
1067,05KP92-E
1083,0M5Z3R-E
1092,08031C-E
1101,000KZK-E
1106,063Y8X-E
1135,06JNQB-E
1175,001F4F-E
1181,07T2NY-E
1207,004DCM-E
1224,0012PL-E
1268,0MKC76-E
1293,0M67F5-E
1320,0D85FN-E
1348,064MF2-E
1366,064D45-E
1367,064QF2-E
1369,06497Z-E
1371,06R4GF-E
1372,003FWF-E
1386,07FC6K-E
1387,0629LJ-E
1396,07CGVL-E
1400,0MHNJL-E
1450,000R34-E
1481,0MC1JC-E
1501,0068X5-E
1545,064JTX-E
1549,0859L0-E
1554,0015M7-E
1595,05NN8J-E
1598,0LM7VM-E
1604,064QNM-E
1605,072DSZ-E
1612,064KH4-E
1627,000P9S-E
1637,05DZHY-E
1664,064295-E
1721,05HF3F-E
1741,064MH5-E
1743,080MKY-E
1745,05YGXC-E
1752,0FMZQC-E
1754,07Y5TC-E
1756,009J35-E
1766,0D7W45-E
1780,07RJ9S-E
1781,0640BG-E
1798,0MH87F-E
1800,060KRW-E
1842,07X074-E
1853,07TNYG-E
1860,07XN89-E
1881,06K5L1-E
1887,064LSV-E
1896,06CSK1-E
1899,0MGMX8-E
1908,0M6V9W-E
1917,063SW0-E
1920,089WFV-E
1959,080Q8N-E
1981,067RJ5-E
1985,064XLJ-E
1998,0D0F01-E
2008,0887B9-E
2009,000NGX-E
2010,0643HT-E
2013,0M9JLH-E
2017,07B73D-E
2037,0650Y2-E
2048,05T8X4-E
2059,06JHVV-E
2070,0DGVVJ-E
2083,06WCRB-E
2099,0MBD5H-E
2134,002MG2-E
2140,0KMXCB-E
2149,07PB68-E
2150,002RV6-E
2174,064L25-E
2180,061FTR-E
2207,002DGD-E
2223,0MFZ65-E
2236,0MP9K9-E
2247,0MBS8F-E
2281,002F5X-E
2301,05K62J-E
2321,05QP5Z-E
2341,06GXYN-E
2354,0H2SHF-E
2361,05L7Q5-E
2377,0FLLQ5-E
2398,0G21FM-E
2425,05LHRL-E
2432,0BY1YF-E
2441,0798R9-E
2482,0BXGYH-E
2507,064KP7-E
2520,07PPM6-E
2523,001NPY-E
2535,07RN61-E
2540,0G9HX7-E
2552,07VWQT-E
2561,064MNL-E
2574,000YJM-E
2588,0HNPGC-E
2590,0CBKB4-E
2619,0G9HX7-E
2625,0059BL-E
2628,0CT9ZC-E
2667,0656TL-E
2686,0641S6-E
2688,07PG60-E
2698,064QKW-E
2724,0BKT58-E
2731,07R5HY-E
2734,0F9HWK-E
2737,05HZMJ-E
2743,080VG0-E
2757,002RFZ-E
2763,000CZ3-E
2782,003560-E
2784,000YT7-E
2801,0DKD5Z-E
2824,00165Y-E
2830,000PYP-E
2843,0BDH4F-E
2846,0DFZ7N-E
2856,05LGJT-E
2864,0M5JNW-E
2870,063YMB-E
2872,064BM2-E
2873,0MP9PB-E
2876,05LP8T-E
2881,0CSN89-E
2885,063VNQ-E
2889,001GHC-E
2906,0020L6-E
2909,005WFF-E
2933,001ZXX-E
2952,07LVBR-E
2954,000NVX-E
2962,0657FB-E
2980,0602GF-E
2994,0859L0-E
2995,0HCQ5G-E
3029,063XTN-E
3046,07YMSS-E
3047,0062Y5-E
3048,06YN6Z-E
3054,006F1J-E
3060,09Q0XQ-E
3062,083MVH-E
3065,0M55S0-E
3081,0MBX90-E
3086,0DNJD7-E
3090,07Y1TV-E
3092,0C2BYW-E
3098,0MDH04-E
3101,075Z1N-E
3106,0M9M23-E
3108,00178L-E
3112,0MGZ7C-E
3121,08931Z-E
3122,0MB5CP-E
3126,0H4RMZ-E
3127,0G5931-E
3128,06P1X3-E
3132,0024V8-E
3135,0G0M5L-E
3141,06L34K-E
3147,06VTDP-E
3151,06NH2X-E
3169,066PGM-E
3179,072DR4-E
